Article,Incident Name,Shooter Race,Title
"GODDARD, Kan., Jan. 22— Flags flew at half-staff today over the little white City Hall, at the Post Office and at Goddard Junior High School, where a troubled youth shot a popular school principal to death Monday and wounded three other people.

The school was closed today, and at least one concerned parent closed his shop to remain home with his teen-age children. A ground-breaking for a new grocery store went on as scheduled, but those present wore sorrowing and worried expressions.

The sorrow was over the death of James McGee, slain in a shooting spree by a youth identified by the police as James Alan Kearbey, 14 years old.

The worry was over why it had happened, especially in the school system that is the community's proudest feature, and over its effect on the quiet town of 1,400 people, to which many had moved to escape urban fears.

'Shocked and Stunned'

''Just shocked and stunned - that's all we can say,'' said Kent Hixon, Goddard's 29-year-old, part-time city administrator. ''Things like this just don't happen here. People move here to get in this school district. They are people who want good schools and are willing to pay for them.''

Late today the Kearbey youth was charged with first-degree murder. Under Kansas law, he will have to be tried, however, as a juvenile offender, and the maximum penalty would be a prison sentence lasting no longer than his 21st birthday.

Goddard, once a farming community, is now mainly occupied by commuters with jobs in Wichita, about 12 miles away.

The shootings occurred Monday as the youth walked into the school carrying a rifle and a pistol, according to witnesses, who said he opened fire when he was accosted, first by a teacher, Dawn Swearingen, and the principal, and then by another teacher, Donald Harris, who was walking down a hall with a 14-year-old student, Daniel Williams. All four were struck by rifle bullets, Mr. McGee fatally.

Mrs. Swearingen suffered superficial scalp wounds. Mr. Harris was shot in the hip and the student was wounded in a thigh.

Rifle, Pistol and Ammunition

After a search, the Kearbey youth was arrested in a nearby wheat field. The police said he was carrying a rifle, a pistol and a pocketful of ammunition.

The police here have refused to discuss a possible motive, and most townspeople today remained puzzled over a possible reason for the shooting spree.

But one of those wounded, Mr. Harris, while refusing to be interviewed in person, described the youth in a telephone conversation from the hospital.

The Kearbey youth, whom classmates call Alan, is a boy of superior intelligence, reflected in vocabulary and other tests, Mr. Harris said, but an underachiever for lack of study.

He is a ''loner,'' Mr. Harris said, a boy of slight build, quick to anger and often teased by classmates.

''And things seemed to bother him longer than they would others,'' he said. ''The other kids picked up on that.'' Yet, Mr. Harris said, ''This year in the ninth grade he seemed to show more control.''

''We had just finished a passage on medieval castles and battles,'' Mr. Harris said, ''and Alan seemed really enamored of that. He seemed wrapped up in weapons. He liked talking about the military.''

Still, Mr. Harris said, he was surprised when he met Alan, carrying a rifle, in the school's hall. Then the boy knelt to aim, he said.

'This Can't Be Real'

''I was scared to death,'' Mr. Harris said. ''I looked down the barrel of that gun, and I thought, 'This can't be real.' ''

Still, he said, he is convinced that, from the position his assailant had assumed, he could have fired accurately enough to kill him and the student rather than inflicting flesh wounds.

A conflict with classmates that had become more violent than those described by Mr. Harris occurred late last week, according to Deanna Hall, a high school student who lives across the street from the home of Alan's parents, Wayne and Mary Kearbey.

The boy had been beaten by two classmates in a locker-room fight, she said.

Miss Hall's younger brother, Doug, 13, cited incidents in which Alan had become fiercely angry, including a snowball fight in which he had been hit after falling.

''But most of the time he is a kind of shy kid, a loner,'' said their father, Leroy Hall, who had closed his automotive shop today.

Mr. Hall described the Kearbey family as ''real nice people.''

''There must have been a point where something snapped,'' he said.

Mr. Hall described Wayne Kearbey as an amiable neighbor, a former marine who is now a vocational schoolteacher who collects guns as a hobby.

The Kearbey family had left their home today, but Mr. Kearbey was clearly pained when reached by telephone early this morning before his departure.

''We're terribly sorry,'' he said. ''Words can't express how we feel.''

Asked if he knew a reason for his son's actions, he responded: ''I have several ideas. It's been an ongoing type of thing. It will all come out eventually.'' He declined further comment.

Mr. Hixon, the city administrator, said that ''you could see the pain in those parents eyes'' when they arrived at the City Hall police station after their son's arrest.

Others here, such as Mayor Francis Langton and two City Council members, Lynn Aaron and John Hoisington, voiced their concerns after today's ground-breaking.

''It's put a numb feeling in the whole community,'' said Mr. Aaron.

''This is a town where you don't even have to lock your doors,'' said Mr. Hoisington. ''You don't know why this happened. You know it's an isolated thing, and yet you still feel guilty, like maybe somehow it could have been prevented.''

Later, at a news conference in a Wichita hospital, Dawn Swearingen's husband, Paul, told reporters to remember that ''this is a loving community.'' He added:

''We want to convey our forgiveness to the boy. This is a boy in need of help.''

photo of James Alan Kearbey; photo of Kent Hixon",Goddard Junior High School,White,QUIET WICHITA SUBURB IS BEWILDERED BY KILLING OF POPULAR PRINCIPAL
NaN,Atlanta Post Office,,NaN
"SEATTLE, Feb. 19— Twelve men and a woman were shot dead Friday night in a Chinatown gambling club, apparently in a robbery attempt, the police said today.

The violence at the Wah Mee Club was the largest mass killing in the modern history of the Pacific Northwest. Eleven bodies were found tied hand and foot with nylon cord, and a man's unbound body was found in the office of club, which has operated since the 1940's. One of the victims inside was still alive, but died at Harborview Medical Center.

Two men were in police custody for investigation and a third was questioned, but none have been charged. The men being held were Benjamin Ng, 20 years old, and Kwan Fai Mack, 19. Mr. Ng was arrested at his home, and Mr. Mack called the police and surrendered. The third man was questioned because he was with Mr. Mack when he surrendered.

''We believe that it is robbery,'' Police Maj. Dale Douglass said, adding ''I don't believe it was nickel and dime.'' He said that two search warrants were executed and that ''a good deal of evidence was recovered.'' ''From my knowledge of those places, they had to be admitted by someone who knew them,'' Major Douglass said of the gambling clubs that have flourished here for years despite their illegality.

''This is a unique and horrible incident,'' Police Chief Patrick Fitzsimons said of the carnage. ''I have seen nothing like it before. A case like this is shocking.''

The medical examiner's office listed the names of nine of the victims, all of whom were Seattle residents of Chinese ancestry. They were John Loui, no age given; Chong L. Chinn, no age; Wing Wong, 59; Moo Min Mar, 52; Jean Mar, 47; Henning Chinn, 52; Dewey Mar, no age; Gim Lun Wong, no age, and Hung Fat Gee, about 50. Four unidentified Chinese men, ranging in age from the 30's to the 70's, were also killed. Some Victims Shot Twice

''Some were shot once, some twice,'' Dr. Harry Bonnell, assistant medical examiner for King County, said of the victims, all of whom were shot in the head.

The bodies were found soon after midnight. A passer-by, whose name was not disclosed, called the police at 12:44 A.M. to report finding a greviously wounded man staggering in Maynard Alley South, the littered, cluttered passageway that gives access to the club's door.

The police said the club door had a lock that automatically engaged and could only be opened from the inside, where an attendant in a cage was always on duty. After the wounded man had pushed himself out, the door locked behind him. Door Broken Down

The police broke down the door and found the bodies. There was no indication of a struggle, Captain Mike Slessman said. But dominoes were scattered around the room. He said this indicated that the victims had been playing Paykyo, a gambling game favored by many Orientals here.

Only people of Chinese ancestry were allowed in the club and had to be recognized to gain entry, said Captain Slessman, indicating that the victims may have known their assailants. The door attendant was one of those bound and killed, the authorities said.

Captain Slessman said it appeared that more than one handgun was used in what he said appeared to be a methodical series of killings. The wounded victim was still alive today. He had been interviewed by the police, and was under heavy police guard. 'He Is Our Best Lead'

''He is our best lead,'' said Gary Flynn, a Police Department spokesman. Captain Slessman said it appeared that more than one handgun was used in what he said appeared to be a methodical series of killings. There were no billfolds or other means of rapid identification on any of the bodies. The gambling clubs are a longtime problem, according to Mr. Fitzsimons, the Chief. ''Their history is well known and they've been in operation for over 25 years so there are chronic problems that we deal with as well as we can when the law allows,'' he said. ''We follow very strictly the law, and if we have opportunity to take legal enforcement action we do it. But we always have to have the evidence or the probable cause we need to get search warrants.''

Mr. Flynn said the club was last raided by the police in 1972. A Narrow Passage

The Wah Mee Club is on Maynard Alley South, a narrow passage it shares with a tropical fish and bird importing company that was open today.

The back doors of Chinese stores and restaurants open on Maynard Alley, and their front doors on more pleasant streets. The alley is littered with cardboard boxes, which were disintegrating in the rain today, and wooden cases.

The King Dome, the sports arena, and King County Court, the Seattle police headquarters, and many Oriental restaurants and businesses are nearby. The area is known here as the International District. Once Chinese were its exclusive residents, but in recent years new immigrants of Oriental extraction have settled in the district.

Entrance to the gambling clubs is through double doors, which were secured today with chain and a police padlock. To the right of the door is the attendant's cage where visitors could be scrutinized before they were admitted. Incidents in Chinatowns

The slayings were the latest of several violent incidents that have occurred in the country's Chinatown communities in recent years. In New York City, last Dec. 23 masked gunmen burst into a Chinatown restaurant, reputed to be a gang hangout, and fired wildly into the crowd of customers, killing three people and injuring eight others. The authorities said it was the worst outbreak of gang violence in New York's Chinatown in recent years.

In 1977 a popular restaurant in San Francisco's Chinatown, the Golden Dragon, was the scene of a sudden and brutal attack. Three men wearing ski masks walked into the restaurant shortly before closing time and fired, seemingly indiscriminately, at about 75 latenight diners, killing five people and wounding 11 others.

Illustrations: photo of a body being removed from the private club in Seattle",New York Techincal College,African American,13 SLAIN AT CLUB IN SEATTLE'S CHINATOWN
"The college student accused of killing one person and seriously wounding four others Tuesday in a shooting rampage on a Brooklyn campus was a loner who spent some time in a Georgia mental institution and kept his distance from people, his family and neighbors said yesterday.

''He had no girlfriends, no male friends, no visitors, no cousins, no dog, no cat, no bird,'' said Reginald Walker, a frequent visitor to the building at 718 Putnam Avenue in the Bedford-Stuyvesant section of Brooklyn where the suspect, Van Hull, lived.

''He walked around shell-shocked all the time,'' Mr. Walker said, ''so everybody here just stayed out of his way.''

The shootings appeared to be related to a dispute over $717 in financial aid from New York Technical College, where Mr. Hull has been a student since 1981, the police and the college said. According to the police, Mr. Hull apparently spent even more than that - $750 - for a round-trip bus ticket to Augusta, Ga., and two pistols bought there Monday.

Guns Bought at Pawn Shop

Mr. Hull had the pistols, a .38-caliber revolver and a 9-millimeter automatic, with him when he was arrested.

A police spokesman, Capt. Michael Julian, said detectives had determined that Mr. Hull left New York Sunday on a Trailways bus, bound for Augusta, Ga., where he had lived with his grandmother until he was 9 years old.

On Monday, a man fitting Mr. Hull's description showed up at an Augusta pawn shop and bought the two guns. The police said Mr. Hull arrived back in New York on Tuesday and apparently went straight to the college campus. He had $95 in cash when he was arrested.

''We can only surmise what his motive was - apparently he was angry at some people he felt owed him money,'' Captain Julian said. ''It doesn't seem rational to spend over $700 to travel for the purchase of guns when you're only going to get a $700 check.''

On Tuesday, according to the police, Mr. Hull shot five people - one fatally - on a rampage through the campus of New York City Technical College in downtown Brooklyn. He kept the police at bay, twice exchanging gunfire, before surrendering.

Residents of the building in which Mr. Hull lived, a four-story brown row house on a quiet block in the heart of Bedford-Stuyvesant, said he had last been seen in the building Saturday. That day, as usual, he went by a group of neighborhood residents clustered on the front steps without acknowledging their presence. Avoided His Neighbors

''He didn't speak to anybody, but then again, he never did,'' said Tanya McGriff, 19, who lives on the building's ground floor.

Mr. Walker, 25, who is the boyfriend of Beverly Porter, a woman who lived in the apartment above Mr. Hull and went to school with him, said Mr. Hull had indicated when he moved into the building that he was a part-time musician who played guitar in a band. But Mr. Walker said Mr. Hull spent most of his time alone in his apartment, which Mr. McGriff said had no television or telephone.

''He'd get off the Halsey Street bus, walk straight in the door, and that was the last anyone would see or hear of him,'' Mr. Walker said. ''We knew from seeing the trash he put out that he didn't drink no beer, and we sure didn't smell any reefer or crack coming out of his apartment either.''

Occasionally, Mr. Hull traveled seven blocks to visit his mother, Ruby Banks, at 318 Madison Street in the Bedford-Stuyvesant section, where she lived for nine years until moving last week. Residents of that neighborhood said they had been struck by the marked difference of personality between mother and son.

''She is a very fine person, so outgoing and warm and understanding,'' said Lurline de Shield, who lived next door to Mr. Hull's mother and was her landlady. ''He didn't say anything to anybody, he just seemed to be into himself, really introverted.''

Mr. Hull's grandmother, Gussie Allen, with whom he lived in Augusta, Ga., until he was 9 years old, said her grandson had been a patient at a Georgia mental institution, the Georgia Regional Hospital, in 1981. This was confirmed by a source at the hospital.

Mr. Hull is ''very intelligent,'' but ''disturbed,'' his grandmother said.

Mr. Hull attended the Immaculate Conception School in Augusta before moving to New York, his grandmother said.

He graduated from Andrew Jackson High School in Queens in 1976, and, according to college records, studied nursing at Augusta (Ga.) College before enrolling at New York Technical College, a branch of the City University of New York. College Degree Earned

In 1984, Mr. Hull received an associate of applied science degree in construction technology at the Brooklyn school, said Dr. Emilie Cozzi, director of college relations there. At the time of the shooting, Mr. Hull was enrolled for a second associate degree, this one in civil engineering technology.

Dr. Cozzi said Mr. Hull had an average of about D plus in his civil engineering courses but was not on probation.

According to Dr. Cozzi, Mr. Hull had a $717 check for a Government-backed guaranteed student loan waiting for him for the semester beginning next month. ''He was not deprived of it,'' she said.

''He often had problems with his financial aid, and it usually was traced back to some inaccuracy in his completion of some financial aid forms,'' said the associate dean of student affairs at the college, Rufus K. Newlin.

Dr. Cozzi said that Mr. Hull had worked in the ophthalmic dispensing department as a clerical aide earlier this year, earning the minimum wage. But she added that Scott Riesenberg, the 31-year-old ophthalmology lab technician who died in the shooting, ''had nothing to do'' with approving payments to Mr. Hull.

Police said that Mr. Hull knew both Mr. Riesenberg and Lamont Pittman, the school's financial aid director, who was wounded in the attack and remained hospitalized last night in serious condition, and had selected them as targets.

Mr. Riesenberg, father of a 7-week-old son, lived with his wife, Rhonda, 30, in Yonkers and operated an optical shop in the Bronx with his wife in addition to teaching at the college.

In addition to Mr. Pittman, 43, the wounded and their conditions were Betty Holden of Brooklyn, a security guard for Wells Fargo who worked at the college, who was shot in the face and in fair condition; Elena Vasquez, 32, of Brooklyn, a student and employee of the college, wounded in the left shoulder and chest and in critical condition, and Elaine Harper, 41, who had a head wound and was in serious condition. All were in Long Island College Hospital.

photo of Van Hull (UPI) (page B7)",New York Techincal College,African American,STUDENT CHARGED IN KILLING ON CAMPUS IS CALLED LONER
"A student at New York City Technical College went on a rampage through the downtown Brooklyn campus yesterday afternoon, shooting five people, one of them fatally, and exchanging gunfire with police officers before giving up, the police reported.

Carrying two handguns, the suspect - 29-year-old Van Hull of Brooklyn -first killed a college employee in a laboratory in one building, the police said, then ran to the school's financial aid office in a second building, where he shot three more people. After firing shots at officers behind the second building, he raced into a third building, where he shot a college security officer, according to the police.

Cornered on a stairwell in the third building, he exchanged fire with the police. But after 15 minutes of negotiations - during which, the police said, Mr. Hull was mumbling incoherently - he threw down the guns, one of them an automatic, and surrendered to a transit police officer.

College Official Killed

The officer, Norman Phillips, said, ''The suspect came out calmly with his hands above his head. He looked blank. He wasn't all there.''

The dead man was identified as Scott Riesenberg, 31, of Scarsdale, a laboratory technician at the school. Capt. Michael Julian, a police spokesman. said Mr. Hull worked with Mr. Riesenberg in the laboratory where he was killed.

The surviving victims were taken to Long Island College Hospital, where one was being operated on at midnight, two were in serious condition and one was in satisfactory condition. Two other people were injured but were not hospitalized. One of the seriously wounded victims was identified as Lamont Pittman, 43, the college's financial aid director. Captain Julian said, ''Indications are that Mr. Hull felt he wasn't going to get the financial aid. We are going with that as a possible motive.'' The captain said the amount of money involved was about $700.

The shootings began at about 2:15 P.M. in the college buildings several blocks from the Brooklyn Bridge. Helicopters Help in Search

Traffic in the area was snarled as dozens of police cars and emergency vehicles raced to the scene. Jay Street was closed between Myrtle Avenue and Tillary Street. Police helicopters hovered overhead as about 100 officers, members of the department's Emergency Services Unit and the unit's remote-controlled robot searched through buildings in the area, according to Transit Police Lieut. James Duffy.

Even after Mr. Hull was arrested, 45 minutes after the shooting began, the police continued to search the buildings, unsure of whether there was more than one gunman. But no second suspect was found.

The police said Mr. Hull, whose address was not released, was a student in a work-study program at the college, a four-year school that is part of the City University. Captain Julian said Mr. Hull had been enrolled as a part-time student since 1981 and was close to earning his bachelor's degree.

The police said last night that they did not yet know whether Mr. Hull had a criminal record. Names of Those Hospitalized

The victims at Long Island College Hospital were identified by Tom Dugan, a spokesman, as Mr. Pittman, who was in guarded condition with a neck wound; Betty Holden, of Brooklyn, a security guard for Wells Fargo who worked at the college, who was shot in the face and was in satisfactory condition; Elena Vasquez, 32, of Brooklyn, a student and employee of the college, who was in critical condition after surgery for wounds to the left shoulder and chest cavity, and Elaine Harper, 41, who was being operated on for a head injury.

The two other people who were injured were identified as Reginald Harper of Brooklyn, a security guard - not related to Elaine Harper - who was treated at Long Island College Hospital for a broken wrist, and Patricia Bailey, 20, reported to be a student and employee at the college, who was treated at Brooklyn Hospital for superficial forehead wounds - not from a bullet - and released. Man Shot in Eye

As police described the events, the gunman entered Room 312 of the building at 300 Pearl Street, where techniques relating to ophthalmology are taught, and shot Mr. Riesenberg in the eye, killing him.

The gunman then fled out a rear window onto Adams Street, turned the corner and went into the building at 300 Jay Street. Upon entering Room 227, the financial aid office, he shot Mr. Pittman, Ms. Vasquez and Ms. Harper.

A laboratory technician at the college, Silbert McNaughton, said he was in his own office near the financial aid office when he first heard shots. ''Then students were running toward me,'' he said. ''I got panicked and started running'' out of the building.

The police said the gunman raced out of 300 Jay Street and, from a position behind the building, exchanged shots with officers who were arriving.

Mike Shapiro, an assistant in the college printing shop, said he was in the basement of 300 Jay Street and ''heard at least two dozen shots.'' Security Guards Shot

Mr. McNaughton said that after the gunman had fled from the building, Mr. McNaughton returned to the second floor of 300 Jay Street and spotted a bag with a zipper on a counter in the reception area of the financial aid office. ''The top,'' he said, ''was showing with a sweater or a T-shirt and a bullet in the bag. I saw two boxes.'' Later, he said, ''The cops told me they were .38-caliber bullets.''",New York Techincal College,African American,FIVE IN BROOKLYN SHOT AT COLLEGE
"The student accused of shooting five people, one fatally, on the campus of New York City Technical College on Tuesday is to undergo a series of psychiatric examinations next week while his lawyer prepares a defense that may include a insanity plea.

The student, Van A. Hull, 29 years old, who is charged with murder, attempted murder and assault, was granted a request yesterday through his lawyer, Joyce David of Brooklyn, to undergo the examinations at state expense.

''Insanity looks like a logical defense,'' Ms. David said after a hearing before Judge Charles J. Tejada in Criminal Court in Brooklyn, adding that the examinations will assist her in making the determination.

''It's not a case of mistaken identity or a frame,'' she said.

She said Mr. Hull would be evaluated Monday by a psychiatrist chosen by the state and Tuesday by a psychiatrist she has chosen. 'He Is Like a Bird'

Ms. David, the vice president of the Kings County Criminal Bar Association, said she felt sympathetic to her client and did not believe he is violent.

''From my own impression and from what I've read he is not like that at all,'' she said. ''He is very shy, very nervous and very frightened. He is like a bird, so I didn't want to push him.''

Mr. Hull, in handcuffs, stared at the floor during the hearing.

A grand jury is hearing testimony on the case.

Mr. Hull is accused of killing a laboratory technician and seriously wounding four other people, including the financial-aid director of the school, Lamont Pittman. The police say an apparent misunderstanding over $717 in student aid might have led to the shootings. Former Mental Patient

A former patient in a Georgia mental institution, Mr. Hull is being held without bail in a cell by himself at the Brooklyn Men's House of Detention.

Three of the four people wounded in the shooting Tuesday remained in the intensive care unit at Long Island Hospital in critical condition. They are Mr. Pittman, 43; his assistant, Elaine Harper, 41, and a student worker, Elena Vasquez, 31.

Betty Holden, 48, a security guard, was listed in good condition.

A fund has been established for the family of Scott Riesenberg, the lab technician from Scarsdale who was killed in the attack. Edward Zuckerberg, a dentist from Dobbs Ferry, N.Y., who met Mr. Riesenberg, 31, when both were students at Brooklyn College 13 years ago, established the fund for the victim's wife, Rhonda, and 7-week-old son, David. The address of the fund is P.O. Box 4667, Grand Central Station, New York, N.Y. 10163.",New York Techincal College,African American,STUDENT HELD IN COLLEGE SHOOTINGS IS TO UNDERGO PSYCHIATRIC EXAMS
"A Brooklyn grand jury yesterday voted to indict a 29-year-old student accused of shooting five people, one fatally, on the campus of New York City Technical College last week.

The student, Van A. Hull, 29 years old, was charged with one count of murder, four counts of attempted murder, four counts of assault and four counts of criminal possession of a weapon.

The charges are to be formally filed today.

Mr. Hull is accused of killing a laboratory technician, Scott Riesenberg, 31, of Yonkers, and seriously wounding four other people, including the financial aid director of the college, Lamont Pittman.

The college, a unit of the City University of New York, is at 300 Jay Street in downtown Brooklyn, near the state and Federal courthouses and Borough Hall.",New York Techincal College,African American,Murder Charge Voted In Campus Shootings
"The killings yesterday in a post office in Edmond, Okla., represent one of the worst mass slayings in United States history.

The worst on record by a gunman occurred in 1984 in San Ysidro, Calif., when an unemployed security guard opened fire in a McDonald's restaurant, ''shooting everything in sight,'' according to one police spokesman.

An hour and a half later, after 20 customers and employees were fatally wounded and 15 others hurt, the gunman, James Oliver Huberty, was killed by a police sharpshooter. Many victims were children.

In 1966, Charles J. Whitman fired at random from atop a tower on the University of Texas campus in Austin. Fourteen lives, one of them an infant in the womb of a woman who survived, were taken, and 30 other people wounded, before he was killed by the police. The night before, he had killed his wife and mother.

On Sept. 6, 1949, Howard Unruh, a World War II veteran, went berserk in Camden, N.J., and shot 13 people dead. He is in a mental hospital.

The worst American mass slaying on a single day occurred in 1955, when an explosion on a passenger plane killed 44 people near Longmont, Colo. The son of one of the passengers was convicted of having planted the bomb in a plot to collect her life insurance.

In recent years, these are among the worst multiple slayings:

* Thirteen Chinese-American businessmen and gambling dealers were shot to death in a Seattle gambling club Feb. 19, 1983. Two immigrants were found guilty in the case.

* George E. Banks, a state prison guard, killed 13 people, including his five children and the four women who were their mothers, in Wilkes-Barre, Pa., Sept. 25, 1982.

* Two women and eight children were shot at close range on April 15, 1984, in a two-family house in the East New York section of Brooklyn. A Bronx man, Christopher Thomas, was convicted of manslaughter.

* Richard F. Speck murdered eight student nurses in a Chicago dormitory July 14, 1966.

In addition to such mass murders, there have been numerous recent instances of what experts distinguish as serial killers, those who commit a number of murders over a period of time, like David R. Berkowitz, the New Yorker who became known as Son of Sam.","Edmond, Oklahoma Post Office",White,"MASS SLAYINGS, MANY SITES"
"Jo Ann Buswell, center, being comforted at graveside services for her brother, Patrick Henry Sherrill. Mr. Sherrill, who shot himself after killing 14 co-workers at post office in Edmond, was buried in a family plot in Watonga. Yesterday was declared an official state day of mourning by Gov. George Nigh. In Edmond, people gathered at a football stadium for a memorial service that a minister said would begin ''our town's healing.''","Edmond, Oklahoma Post Office",White,Slayer of 14 at Post Office Is Buried in Oklahoma
"EDMOND, Okla., Aug. 23— Eight more burials were held today for victims of the mail carrier at the Edmond Post Office who killed 14 co-workers before taking his own life.

''We've experienced pain, haven't we?'' the Rev. Finley Tinnin said at the funeral of Patty J. Husband, a five-year postal employee. ''You bet we have.''

''But think of pain being the threshhold of peace,'' he said. ''It is because of pain that God moves to us and brings us His peace.''

Six of the burials took place in Oklahoma. One was held in St. John, Kan., and another in Marietta, Ga. Four victims were buried Friday. One burial is scheduled Sunday and one Monday.

The body of the gunman, Patrick Henry Sherrill, who also wounded six people in the shooting Wednesday, was cremated and will be buried Sunday at Watonga, at his parents' gravesite.

The service for Mr. Sherrill will be only for family and close friends, according to the funeral home handling the service.

More than 200 people jammed the chapel of an Oklahoma City funeral home for the funeral of Ms. Husband, who was 48 years old. Worker May Have Saved Lives

Cathy Miller, wife of one of the slain workers, Bill Miller, said her husband may have saved several lives.

''Everything I can gather indicates that Billy was trying to take the gun away from him,'' she said after his funeral Friday. ''I know of four people who told me their lives were saved because he gave his.''

The Rev. Robert B. Hawkins, pastor of the Millers' church, said he was with Mrs. Miller when Postmaster General Preston R. Tisch called to thank her for her husband's heroic efforts.

At a Roman Catholic funeral mass here for Paul Michael Rockne, the 33-year-old grandson of the legendary Notre Dame football coach Knute Rockne, about 150 postal workers were among the 700 mourners. Three dozen postal employees wore their uniforms with black arm bands.

''Everything that has been done in this last week has been unusual and has been cruel, but we know that his soul has been called to God, our Father,'' said the Rev. Marvin Leven.

Mr. Rockne, whose casket was draped with an American flag, was one of the first people killed, the police said.

Mr. Sherrill was one of five top marksmen in the Oklahoma National Guard and was authorized to check out weapons and ammunition, officials said Friday.

The two .45-caliber pistols and ammunition Mr. Sherrill took into the post office were issued by the Guard so he could qualify for the five-man Oklahoma team.","Edmond, Oklahoma Post Office",White,8 MORE VICTIMS OF OKLAHOMA SHOOTING ARE BURIED
"A FEW people said there was nothing strange about Patrick Henry Sherrill. A high school coach remembered him as ''easygoing.'' His Marine Corps record was clean. The Oklahoma National Guard had given him a good-conduct ribbon and allowed him to check out weapons, including two .45-caliber handguns and ammunition for a guard marksmanship contest he was to participate in next weekend.

To many others, however, the 44-year-old part-time postman was Crazy Pat, as the children in his Oklahoma City neighborhood called him, a loner who stared strangely, wandered at night and peeped into windows. The few who knew him well said he worried that he would get the same mental disease he said his father had. And to his supervisors at the Edmond post office, he was a discipline problem who had been told recently that he was in danger of losing his job.

But no one suspected that Mr. Sherrill would walk into the post office early Wednesday morning, pull the National Guard's pistols out of his mailbag and gun down 20 co-workers. Fourteen people were killed. After stalking his victims from room to room, Mr. Sherrill killed himself.

Some experts say that mass murderers are frequently paranoid, that their rampages can be sparked by a tangible episode that follows a string of defeats or rejections.

This was the theory two years ago when James Huberty, a man who had just been fired as a security guard, shot 21 people to death at a McDonald's restaurant in San Ysidro, Calif. But there is no agreement about the traits of such killers, and some experts said that Mr. Sherrill did not fit into any one category.

The Edmond police said that Mr. Sherrill's home, where he had lived alone since his mother died eight years ago, was filled with weapons, marksmanship ribbons and paramilitary and electronic gear.

The National Guard, meanwhile, said it was reviewing the policy that allows weapons and ammunition to be taken home.

Photo of expressions of grief after the mass killings in Edmond, Okla. (AP)","Edmond, Oklahoma Post Office",White,MASSACRE AT A POST OFFICE
"OKLAHOMA CITY, Aug. 22— The two pistols with which Patrick Henry Sherrill killed 14 co-workers and himself at the Edmond Post Office on Wednesday had been issued by the Oklahoma National Guard for him to use in a target competition, the authorities said today.

Maj. Gen. Bob Morgan, adjutant general of the Oklahoma National Guard, said at a news conference that Mr. Sherrill ''had performed his military service with the Oklahoma Air National Guard well.''

''He had been awarded the Oklahoma good conduct ribbon and the Oklahoma National Guard 100 percent drill attendance badge,'' General Morgan said. ''There had been no reports, including medical, that would have precluded him from serving in the Guard or from being a member of the marksmanship program.''

General Morgan said he would ask the National Guard Bureau to review regulations involving the issue of firearms and ammunition. Report on Gunman's Autopsy

An autopsy report released today by Dr. Fred Jordan, the state medical examiner, indicated there were no traces of alcohol or drugs in Mr. Sherrill's system other than a trace of a chemical found in nonprescription antihistamines.

The report said Mr. Sherrill died of a bullet wound that damaged the brain. A full autopsy will take about two weeks, the medical examiner's office said.

Meanwhile in Edmond, postal workers filled a dozen church pews as they joined hundreds of mourners at the first of five funerals for those killed in the massacre.

Services are scheduled through Monday at eight other Oklahoma communities and in Marietta, Ga., and St. John, Kan. A citywide memorial service is scheduled for Sunday in Edmond.

As the funerals began, residents -who had decorated mailboxes and telephone poles with yellow ribbons -banded together to try to cope with the tragedy. Counseling sessions were scheduled for survivors and victims' families.

Five of the six postal employees who were wounded remained hospitalized today, all in stable condition. Preparing for Competition

The two .45-caliber handguns Mr. Sherrill carried into the post office were issued to him in connection with a competition to qualify for the five-man Oklahoma team that was to take part in a national marksmanship competition, General Morgan said. Mr. Sherrill, 44 years old, was scheduled to leave Aug. 31 for the competition in Little Rock, Ark.

General Morgan said Mr. Sherrill had also been issued 200 rounds of .45-caliber ammunition on Saturday for a contest sponsored by the National Rifle Association at Arcadia, near Edmond.

Mr. Sherrill was issued an additional 300 rounds Sunday for practice in preparation with the national contest involving Guard members from across the country, General Morgan said.

Guard officials said Mr. Sherrill, a part-time postal employee, joined the Oklahoma Air National Guard in October 1984.

About 12 Guard members, including Mr. Sherrill, were authorized to check out ammunition and handguns, General Morgan said.

State Representative Cal Hobson, a National Guard major, said Mr. Sherrill had accompanied other Guard members to England in July and was a firearms instructor at R.A.F. Mindenhall, about 65 miles north of London.

Photo of Randy Welch being comforted at burial of his wife Patti, one of those slain at the Edmond post office (UPI)","Edmond, Oklahoma Post Office",White,CARIER GOT GUNS AS GUARD MEMBER
